country,country_code,region,income,year,gdp_growth,inflation,life_expectancy,poverty
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2022,0.386070835562705,,63.028,
Ethiopia,ETH,Sub-Saharan Africa,,2022,5.32175988403378,33.8898797100898,66.897,
Faroe Islands,FRO,Europe & Central Asia,High income,2022,3.86099981669155,,82.9439024390244,
Fiji,FJI,East Asia & Pacific,Upper middle income,2022,17.7451269773594,4.32011856243056,67.148,
Finland,FIN,Europe & Central Asia,High income,2022,0.763041912763526,7.12350773301402,81.1878048780488,0.1
France,FRA,Europe & Central Asia,High income,2022,2.71676264185913,5.22236748369735,82.1292682926829,0.0
French Polynesia,PYF,East Asia & Pacific,High income,2022,2.9373470716322,,83.859,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2022,3.03761449530657,4.23124798274579,67.713,
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2022,5.49299823010114,11.5131198380505,64.859,
Georgia,GEO,Europe & Central Asia,Upper middle income,2022,10.9585321385624,11.8981654203198,74.141,2.3
Germany,DEU,Europe & Central Asia,High income,2022,1.8092581243061,6.87257438551097,80.6080487804878,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2022,3.80484980952164,31.2558951049016,65.246,
Gibraltar,GIB,Europe & Central Asia,High income,2022,,,83.517,
Greece,GRC,Europe & Central Asia,High income,2022,5.52198580589408,9.64525981280632,80.7878048780488,0.3
Greenland,GRL,Europe & Central Asia,High income,2022,2.00455580865604,,71.5404878048781,
Grenada,GRD,Latin America & Caribbean,Upper middle income,2022,7.31023806981959,2.5805392590792,75.151,
Guam,GUM,East Asia & Pacific,High income,2022,5.09986426216793,,77.102,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2022,4.18451817243695,6.88512823344287,71.206,
Guinea,GIN,Sub-Saharan Africa,Lower middle income,2022,3.97240784200721,10.4930409984424,60.432,
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2022,5.52987253058352,9.39075933985203,63.605,
Guyana,GUY,Latin America & Caribbean,High income,2022,63.3346343654855,6.11505550109935,69.888,
Haiti,HTI,Latin America & Caribbean,Lower middle income,2022,-1.68198396897978,33.98393194707,63.948,
Honduras,HND,Latin America & Caribbean,Lower middle income,2022,4.14356194013767,9.08963911525025,72.715,
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2022,-3.68378414495199,1.88136707196853,83.6609756097561,
Hungary,HUN,Europe & Central Asia,High income,2022,4.15238057779229,14.6081439492433,75.8682926829268,
Iceland,ISL,Europe & Central Asia,High income,2022,8.82069395623492,8.3087551155892,82.119512195122,
India,IND,South Asia,Lower middle income,2022,7.60936497768895,6.69903414079852,71.698,0.8
Indonesia,IDN,East Asia & Pacific,Upper middle income,2022,5.30719722664799,4.20946463714784,70.925,1.3
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2022,4.35281087521344,43.4884641742179,76.799,0.6
Iraq,IRQ,Middle East & North Africa,Upper middle income,2022,7.95904804992662,4.99476596381044,72.037,
Ireland,IRL,Europe & Central Asia,High income,2022,7.51113888415304,7.82945736434105,82.509756097561,0.1
Isle of Man,IMN,Europe & Central Asia,High income,2022,-4.16539345213232,,80.956,
Israel,ISR,Middle East & North Africa,High income,2022,6.26326343841286,4.41162725488371,82.7,
Italy,ITA,Europe & Central Asia,High income,2022,4.82117669913565,8.20128991161718,82.7,0.5
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2022,6.43930323656186,10.3495688391272,71.481,
Japan,JPN,East Asia & Pacific,High income,2022,0.941998775483285,2.49770278172255,83.9963414634146,
Jordan,JOR,Middle East & North Africa,Lower middle income,2022,2.64743514912058,4.22915568897117,77.088,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2022,3.19999999970734,15.0278644440851,73.503,
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2022,4.85998104287999,7.65986268272224,63.549,14.1
Kiribati,KIR,East Asia & Pacific,Lower middle income,2022,4.56632593100372,5.34595440908904,66.269,
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,2022,,,73.641,
"Korea, Rep.",KOR,East Asia & Pacific,High income,2022,2.72756456708991,5.08951365062842,82.6804878048781,
Kosovo,XKX,Europe & Central Asia,Upper middle income,2022,4.27849895827543,11.5805104542012,77.623,5.6
Kuwait,KWT,Middle East & North Africa,High income,2022,6.75866711966617,3.98064961990313,80.5878048780488,
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2022,8.96750520041391,13.9229093174176,72.0487804878049,0.6
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2022,2.70742652643155,22.9562225132056,68.715,
Latvia,LVA,Europe & Central Asia,High income,2022,1.90853419029801,17.3102830198815,74.2780487804878,0.2
Lebanon,LBN,Middle East & North Africa,Lower middle income,2022,-0.621678970663112,171.205491336641,78.003,1.1
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2022,2.38778020186284,8.27180389943028,56.812,
Liberia,LBR,Sub-Saharan Africa,Low income,2022,4.80810517290655,7.59298486560313,61.934,
Libya,LBY,Middle East & North Africa,Upper middle income,2022,-8.29981811198795,4.51030149235703,74.462,
Liechtenstein,LIE,Europe & Central Asia,High income,2022,,,84.1219512195122,
Lithuania,LTU,Europe & Central Asia,High income,2022,2.53752574011534,19.7050461518394,75.6439024390244,0.4
Luxembourg,LUX,Europe & Central Asia,High income,2022,-1.0974168968152,6.33600807777919,82.9463414634147,0.1
"Macao SAR, China",MAC,East Asia & Pacific,High income,2022,-18.956941494497,1.04502802369954,83.0804878048781,
Madagascar,MDG,Sub-Saharan Africa,Low income,2022,4.15609778386296,8.16059031991844,63.068,
Malawi,MWI,Sub-Saharan Africa,Low income,2022,0.921115069005936,20.953969729969,66.037,
Malaysia,MYS,East Asia & Pacific,Upper middle income,2022,9.03173723044451,3.37869862549928,75.444,
Maldives,MDV,South Asia,Upper middle income,2022,13.8260895184139,2.33314337624567,80.76,
Mali,MLI,Sub-Saharan Africa,Low income,2022,3.70319027595568,9.62147608489064,60.035,
Malta,MLT,Middle East & North Africa,High income,2022,2.48309993837792,6.15375621933037,82.4487804878049,0.1
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2022,-0.700563926576777,,66.725,
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2022,6.79600500489967,9.52526628622843,68.281,
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2022,8.69306675264066,10.7737512242899,73.5146341463415,
Mexico,MEX,Latin America & Caribbean,Upper middle income,2022,3.70975709163623,7.8962761916855,73.973,0.6
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2022,-2.90588999868474,5.40874375479067,66.961,
Moldova,MDA,Europe & Central Asia,Upper middle income,2022,-4.6000000255323,28.7372976766235,71.546,0.0
Monaco,MCO,Europe & Central Asia,High income,2022,11.2662955198601,,85.746,
Mongolia,MNG,East Asia & Pacific,Upper middle income,2022,5.0327096366527,15.1509728200805,71.9007317073171,0.1
Montenegro,MNE,Europe & Central Asia,Upper middle income,2022,7.73954689516201,13.0403036347004,76.1878048780488,
Morocco,MAR,Middle East & North Africa,Lower middle income,2022,1.81269242194809,6.65704202759067,75.161,
Mozambique,MOZ,Sub-Saharan Africa,Low income,2022,4.36445074432608,10.2794018093421,63.011,44.7
Myanmar,MMR,East Asia & Pacific,Lower middle income,2022,4.0374934360085,,66.506,
Namibia,NAM,Sub-Saharan Africa,Lower middle income,2022,5.3987247803654,6.08128114112413,64.19,
Nauru,NRU,East Asia & Pacific,High income,2022,2.87769784172609,,61.93,
Nepal,NPL,South Asia,Lower middle income,2022,5.6313145568451,7.6702057938028,70.087,0.3
Netherlands,NLD,Europe & Central Asia,High income,2022,5.00723455159611,10.0012078753473,81.6146341463415,
New Caledonia,NCL,East Asia & Pacific,High income,2022,3.50000000000006,,77.698,
New Zealand,NZL,East Asia & Pacific,High income,2022,3.49638686458842,7.17222476016441,81.9585365853658,
