Country Name,"Country Code","Series Name","Series Code","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
World,"WLD","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2.74043123173102","1.23795463953577","2.08330128141721","1.88997754116687","3.39430880680132","3.16459831490941","3.59262581167523","3.96560649440364","2.83211105781118","3.58036735454232","4.55506182477725","2.03855309163356","2.31107096730885","3.09383471039331","4.50184539653775","4.05453629039749","4.47616958858079","4.41384473328108","2.09239458384161","-1.31864911944237","4.52424032554688","3.33900335400304","2.73120979279713","2.88814205849086","3.13301748764174","3.11378907834442","2.79359207247063","3.45183009055707","3.27395826417856","2.67911757479919","-2.8992231033702","6.41334961541973","3.40305483746891","2.9485947500487","2.87194964204313",".."
World,"WLD","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","8.06346090938833","8.99693873494331","7.63610852336974","7.14458706876256","10.2479355556119","9.07738095238091","6.52609569372579","5.55412988949405","5.09729149331442","3.04194667094533","3.43351563418767","3.83657262052543","2.90799857032207","3.02504526252236","3.51799903099596","4.10725070715931","4.26717463390264","4.81023704342912","8.94995335353387","2.86044855902674","3.32634463368643","4.82239636013325","3.72532666110646","2.65167342916577","2.39371597209792","1.43702380935655","1.59691227583204","2.22314331448899","2.44258329692817","2.227478809383","1.90509722047501","3.4754032028988","7.98518671835033","5.87010268787553","2.97200477643618",".."
World,"WLD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.1079831133031","65.3032697408837","65.547051593159","65.7420496995443","65.9579138049276","66.2002309386063","66.5147981694736","66.8302940905088","67.0659534434212","67.3114785085325","67.6497257264509","67.9443984335696","68.2305637045849","68.5149610664907","68.7702524523832","69.1105758161451","69.4681165505109","69.8040978740415","70.0034739280642","70.3795251115457","70.6818433466142","70.9680134853525","71.2637168591001","71.5326006637734","71.7754456060807","71.9646261474589","72.1847345079995","72.3651515431591","72.6433904952398","72.8686568501624","72.1819792006819","71.2152192461602","72.9682902550636","73.3289501544845","..",".."
World,"WLD","Poverty gap at $3.00 a day (2021 PPP) (%)","SI.POV.GAPS","17.6","17.3","16.9","16.5","15.4","14.5","13.8","13.7","14","13.5","13.1","12.5","11.7","10.9","9.9","9","8.5","7.9","7.4","7","6.3","5.7","5.2","4.4","4.2","3.9","3.8","3.7","3.5","..","3.7","3.7","3.6","3.6","3.6",".."
Africa Eastern and Southern,"AFE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","0.121363050873086","-0.106034110343302","-2.3952835254757","-0.839117754770186","1.91965438780466","4.35461769115784","5.49911124792519","3.85673898320249","1.7751720856126","2.63418427787336","3.18137506041111","3.50353308518427","3.91711337379634","3.00937249317595","5.63469800866547","6.17365914390395","6.63749738735714","6.70003329209791","4.43752919445292","0.919472850509038","5.30790438645938","4.07747696614018","1.89717291956102","4.35668249727492","3.92038970191821","2.93402965863687","2.13011703002091","2.67752389715308","2.70519413363353","2.03007686221603","-2.81757208724623","4.57877206871177","3.72271692296214","1.9311603523693","2.76383869054277",".."
Africa Eastern and Southern,"AFE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","12.4579139789566","17.6781002638523","16.1676123963339","13.1356607683724","14.8528149833969","12.2885912601426","9.70658632526504","10.2495987403066","7.49525542305607","7.81986477630862","8.60148514851491","5.84035398311557","8.76375520313543","7.44970014007366","5.02342068616285","8.55803802239778","8.89816380214033","8.45077480635","12.5666446595157","8.95421802392949","5.53753791645676","8.97120640995788","9.15870843167905","5.74883133553454","5.52581923392517","5.09856164363687","6.44687722255584","6.22137528933118","4.6898064677633","4.10285075461156","5.19162942092851","6.82472709282067","10.8834775726018","7.39918558080627","4.48978854243448",".."
Africa Eastern and Southern,"AFE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","51.0963264543047","50.8732436063946","50.7159460478921","51.0737619133776","50.9665887956465","51.4820566813357","51.3531898360738","51.5708865171429","51.3179554721368","51.8070772449868","52.5573418626777","52.8755360536287","53.2067443343026","53.6783047685822","54.1929278660434","54.8076807136336","55.6935152578453","56.4843531784534","57.2401063228798","58.0955271436463","58.8272792062821","59.2000040300701","60.2495123598467","60.895739752772","61.2514360156709","61.713030523495","62.1679813169199","62.5912750961501","63.3306913582336","63.8572612837043","63.7664840026943","62.9799991857494","64.4870195456608","65.1461543479959","..",".."
Africa Eastern and Southern,"AFE","Poverty gap at $3.00 a day (2021 PPP) (%)","SI.POV.GAPS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
Africa Western and Central,"AFW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","5.60085021409205","1.11811895873286","2.28916886356546","-1.3255543728517","-0.228792690878734","1.85163689242765","4.62182205216881","4.38782099734694","3.6155976305877","1.51799464318927","3.81216115039309","5.24868324071915","9.94330712251539","5.62636064767845","8.07147345054227","5.79743371948868","5.28717104206022","5.44753043563995","6.21081188431489","6.14119135977269","7.00073960255909","4.92204702375463","5.12970299383294","6.04669213138413","5.6915512073646","2.93286367242145","0.194316483405615","2.29634886599959","2.90466430784954","3.28168276850104","-3.73062984236253","2.54969083217036","4.47279468511532","3.66242752919044","4.5856736208091",".."
Africa Western and Central,"AFW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.05736139457209","1.74188785932669","-0.0629990064787035","0.553455723541917","31.8410168416385","10.5632886691814","4.91423972637201","3.99714170439303","4.47112543851099","0.372266170311928","2.53077516737997","4.36152914007256","3.18869330220589","1.76090410099629","0.694336305945758","5.63163351357613","4.41589984169561","3.60736767984596","8.45297623326755","3.28244037589321","1.78484420477113","4.01869907534492","4.57837463515948","2.43920076104126","1.76843582146224","2.13081738058791","1.48741550755546","1.72548602374731","1.78404994832044","1.98309228487232","2.49037783931949","3.74556782333009","7.94925143524016","5.22116801324002","3.60804426950566",".."
Africa Western and Central,"AFW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","48.4592954544909","48.5310758841945","48.6885921357603","48.8549400132309","48.8592831063574","49.027006694122","49.1115573704458","49.2187834859164","49.4524590240079","49.8237633292581","50.2979830815751","50.6777904131384","51.1080235711343","51.5781222446253","52.1060830935761","52.5557531001128","52.9787097061283","53.482431405345","53.9162616333208","53.852245462001","54.603353213388","54.9639734890226","55.2927058217917","55.5549074075857","55.6954463398569","56.0383356484355","56.3924518507367","56.6264388112566","57.036976441386","57.1498467555118","57.3644254011107","57.3625716910274","57.9878133945189","58.8557215483276","..",".."
Africa Western and Central,"AFW","Poverty gap at $3.00 a day (2021 PPP) (%)","SI.POV.GAPS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
Arab World,"ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","7.84688313128599","-0.695508853930477","6.56285573719843","3.25872270635064","3.35535846189705","2.79717417513079","4.81891470640477","5.44647642581937","4.76529490024946","2.77591869066383","6.33672922415394","2.09740745302985","1.22074845072102","4.29553168417596","9.07459188707816","5.57295529835658","6.27629734101787","4.60116470281086","5.57116008739757","0.648247152976467","4.84064243847079","3.85320358755794","5.49375422924652","2.64732060879508","2.6597523137165","3.35080366726505","3.57286827951262","1.32901000226768","2.67255324455269","1.74778112240244","-5.30102786914752","4.43160883511413","7.00775934349392","1.63495022269882","1.70353102787844",".."
Arab World,"ARB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","8.45146240803882","9.00000000000003","9.35975158953135","9.37034415971461","5.11259890444314","6.54379068524171","4.68130623916413","3.60116103260946","3.41731948975801","2.66937369053699","1.85379035325277","1.77220437351017","1.83299389002049","2.71259247474352","3.63228004956625","3.49368534619531","3.54498591605033","4.74390639021648","11.2706652380848","2.92089711805367","3.91106195534028","4.7531638888563","4.6118443220664","3.25423910998847","2.89947905006057","1.83135233156369","2.36503123461077","2.06932928164424","2.30874696703938","1.33601568147656","1.44703656998741","2.86833027751019","5.17980847967061","4.00025877060147","2.10135577419612",".."
Arab World,"ARB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.7559727299802","62.8275066232407","63.5755762828725","64.6012801061363","64.8500832261274","65.2025060952802","65.5268890989846","65.8529924943129","66.1935792889826","66.5499343902957","66.8906998949344","67.2406170439926","67.5806302791343","67.6503349498777","67.7331029040443","68.0405024136348","68.4912652387812","68.8792264386993","69.2581327561764","69.7069035410593","69.8073221012027","69.3633376859826","69.842316602094","70.1921058451273","70.5350666310281","70.6580123695192","70.8964881164428","71.1128560080646","71.4312997859137","71.8398932674972","70.7265588103862","70.4041144889903","71.8760955992222","72.4446783578531","..",".."
Arab World,"ARB","Poverty gap at $3.00 a day (2021 PPP) (%)","SI.POV.GAPS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
Caribbean small states,"CSS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","-0.327504848703512","-0.0544393426818601","2.05282732584287","0.463000318766433","3.33676525451267","3.08294652862304","4.91502475202645","4.61436180305334","4.9190851488808","5.06331005930517","4.69150491054475","2.10316136448954","3.9850481450781","6.09993647177596","4.66068583586366","4.39522842972688","7.83209779101442","3.84674166509373","1.69966604699709","-3.39231957790483","1.85821449903838","0.886353024582334","4.03485699947825","1.37522571423916","2.59149738961506","-0.100918343775831","-3.08019901728429","-0.745458058997372","1.21087866602529","0.875117819991502","-9.0291630332097","6.53181248270917","14.8851030062619","8.83833676011841","13.3129250895082",".."
